ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27413948;О присвоении адреса объекту недвижимости на территории муниципального образования Подколкинский сельсовет;2025-09-29;44;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ПОДКОЛКИНСКИЙ СЕЛЬСОВЕТ БУЗУЛУКСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27414091;О присвоении адреса объектам адресации;2025-09-04;127-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СТЕПАНОВСКИЙ СЕЛЬСОВЕТ ОРЕНБУРГСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27414588;Об аннулировании кадастрового номера объекта адресации;2025-09-29;159-п;21;1;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЧЕРНОРЕЧЕНСКИЙ СЕЛЬСОВЕТ ОРЕНБУРГСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27415480;О присвоении адреса объекта недвижимого имущества;2025-09-29;148-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СВЕТЛЫЙ СЕЛЬСОВЕТ САКМАРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27415530;О присвоении почтового адреса;2017-07-24;121-П;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЭНЕРГЕТИКСКИЙ ПОССОВЕТ НОВООРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27415916;об инвентаризации ФИАС;2025-09-29;100;24;2;2025-09-29;Комитет архитектуры и градостроительства администрации г.Орска Оренбургской области;2025-09-29
27415986;О присвоении адреса объектам адресации;2025-09-26;1362-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЯСНЕНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27416021;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/152;2025-09-29;4623-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416039;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/631;2025-09-29;4624-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416053;О присвоении адреса жилому дому на территории муниципального образования Колтубанский сельсовет бузулукского района Оренбургской области;2025-09-23;50;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КОЛТУБАНСКИЙ СЕЛЬСОВЕТ БУЗУЛУКСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
